transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,payment_method,merchant_category
T00001,C0103,2025-07-08,Payment,7625.32,Net Banking,Other
T00002,C0436,2025-03-26,Payment,9527.03,Cash,Healthcare
T00003,C0349,2022-02-16,Transfer,1243.62,Card,Healthcare
T00004,C0271,2022-11-20,Transfer,2444.64,Net Banking,Travel
T00005,C0107,2024-04-23,Transfer,2432.12,Card,Other
T00006,C0072,2022-05-10,Payment,2121.57,Cash,Travel
T00007,C0189,2025-12-05,Payment,8737.79,Net Banking,Food
T00008,C0021,2022-04-05,Withdrawal,3853.63,Cash,Education
T00009,C0103,2023-09-19,Transfer,3641.75,Cash,Other
T00010,C0122,2024-01-25,Transfer,905.73,Cash,Education
T00011,C0467,2025-08-08,Transfer,7481.34,Net Banking,Food
T00012,C0215,2024-03-04,Purchase,1669.74,UPI,Education
T00013,C0331,2025-07-30,Withdrawal,4721.01,Net Banking,Retail
T00014,C0459,2022-03-10,Transfer,5618.02,Cash,Education
T00015,C0088,2022-01-11,Transfer,13364.53,Net Banking,Food
T00016,C0373,2025-07-01,Transfer,1579.36,Cash,Education
T00017,C0100,2024-05-21,Purchase,401.91,UPI,Healthcare
T00018,C0360,2023-07-04,Purchase,5213.01,Card,Travel
T00019,C0152,2025-03-03,Payment,19000.9,UPI,Retail
T00020,C0131,2023-12-13,Withdrawal,12124.58,UPI,Healthcare
T00021,C0150,2022-01-23,Payment,5321.76,Card,Healthcare
T00022,C0309,2024-03-25,Withdrawal,3036.69,Net Banking,Food
T00023,C0258,2022-12-12,Purchase,8582.93,Card,Travel
T00024,C0344,2022-10-29,Transfer,2065.23,Net Banking,Travel
T00025,C0492,2022-12-29,Payment,6587.43,Net Banking,Other
T00026,C0414,2023-01-31,Transfer,6742.65,Cash,Retail
T00027,C0294,2022-08-06,Payment,10509.14,Cash,Food
T00028,C0386,2022-05-21,Purchase,40927.63,Card,Retail
T00029,C0192,2024-08-15,Purchase,6159.59,UPI,Other
T00030,C0444,2025-05-18,Purchase,2994.89,Card,Education
T00031,C0277,2024-09-11,Payment,4408.87,Net Banking,Healthcare
T00032,C0161,2024-09-19,Withdrawal,1092.88,Cash,Retail
T00033,C0460,2024-04-07,Payment,2581.34,Card,Healthcare
T00034,C0314,2023-11-14,Withdrawal,3243.49,Card,Food
T00035,C0022,2024-09-30,Payment,2958.87,Cash,Education
T00036,C0253,2022-12-22,Payment,5083.3,Cash,Food
T00037,C0236,2024-10-04,Purchase,2330.64,Cash,Education
T00038,C0345,2025-09-09,Transfer,11033.12,Net Banking,Education
T00039,C0049,2025-03-02,Transfer,4500.75,Cash,Healthcare
T00040,C0475,2024-06-06,Withdrawal,4466.64,UPI,Food
T00041,C0059,2022-05-07,Transfer,3461.71,Card,Food
T00042,C0170,2025-02-03,Payment,5094.85,Cash,Retail
T00043,C0476,2024-10-05,Payment,8707.25,Cash,Food
T00044,C0188,2023-08-27,Purchase,2248.75,Net Banking,Retail
T00045,C0464,2025-11-02,Purchase,2658.03,Net Banking,Travel
T00046,C0271,2024-10-10,Transfer,3529.29,Card,Travel
T00047,C0190,2022-02-20,Withdrawal,1533.24,UPI,Travel
T00048,C0446,2024-11-18,Transfer,2336.54,Card,Other
T00049,C0175,2025-08-12,Transfer,3074.37,Cash,Food
T00050,C0446,2025-08-13,Transfer,9057.46,UPI,Other
T00051,C0051,2024-02-18,Transfer,5551.82,UPI,Food
T00052,C0364,2025-12-01,Payment,5253.79,UPI,Retail
T00053,C0055,2024-03-24,Withdrawal,8888.83,UPI,Other
T00054,C0244,2025-11-29,Payment,4031.67,Card,Other
T00055,C0320,2025-10-01,Withdrawal,6149.98,Net Banking,Other
T00056,C0131,2023-02-24,Purchase,4143.33,Net Banking,Education
T00057,C0485,2025-04-20,Transfer,5564.28,Cash,Retail
T00058,C0307,2024-09-09,Payment,2823.2,Net Banking,Travel
T00059,C0135,2024-04-04,Withdrawal,639.56,Net Banking,Retail
T00060,C0021,2024-10-21,Purchase,4041.65,Net Banking,Education
T00061,C0329,2023-07-21,Purchase,14045.13,Net Banking,Food
T00062,C0167,2023-01-06,Transfer,9440.88,Cash,Retail
T00063,C0274,2024-07-24,Withdrawal,9741.5,Card,Other
T00064,C0388,2023-10-23,Payment,12097.3,UPI,Travel
T00065,C0089,2025-12-25,Transfer,4830.76,Net Banking,Travel
T00066,C0316,2024-08-26,Payment,5269.47,Card,Food
T00067,C0014,2025-08-25,Purchase,2745.48,Net Banking,Retail
T00068,C0242,2025-03-06,Payment,3494.6,Net Banking,Education
T00069,C0265,2022-07-21,Payment,7364.67,UPI,Food
T00070,C0346,2025-12-30,Transfer,11789.21,UPI,Retail
T00071,C0053,2022-11-09,Payment,4024.98,UPI,Healthcare
T00072,C0386,2022-04-27,Transfer,3139.07,Net Banking,Travel
T00073,C0340,2024-07-25,Purchase,4501.9,Net Banking,Education
T00074,C0092,2023-07-29,Transfer,7279.36,Net Banking,Other
T00075,C0367,2022-09-01,Transfer,1417.64,UPI,Education
T00076,C0444,2023-06-21,Withdrawal,716.87,Cash,Other
T00077,C0455,2022-03-16,Payment,2896.92,Card,Education
T00078,C0428,2023-01-21,Purchase,1694.7,Cash,Travel
T00079,C0264,2025-05-18,Transfer,2996.86,Net Banking,Other
T00080,C0431,2023-04-20,Purchase,3998.24,Net Banking,Retail
T00081,C0035,2023-02-22,Withdrawal,3131.4,Cash,Other
T00082,C0206,2022-12-13,Payment,14383.06,Net Banking,Food
T00083,C0081,2023-10-02,Transfer,5844.34,Card,Retail
T00084,C0420,2024-07-27,Payment,5722.79,Net Banking,Food
T00085,C0050,2024-08-12,Withdrawal,7402.69,Card,Education
T00086,C0360,2024-05-25,Withdrawal,1809.43,Cash,Retail
T00087,C0388,2024-02-02,Purchase,10333.25,Cash,Education
T00088,C0002,2025-04-17,Transfer,4235.35,Net Banking,Healthcare
T00089,C0390,2025-04-20,Purchase,7694.16,Card,Education
T00090,C0054,2023-10-26,Withdrawal,1909.02,Net Banking,Education
T00091,C0106,2022-01-25,Payment,1298.32,UPI,Food
T00092,C0260,2025-04-18,Purchase,8657.18,UPI,Other
T00093,C0310,2023-12-11,Purchase,6081.22,UPI,Healthcare
T00094,C0477,2025-03-30,Payment,2186.79,UPI,Education
T00095,C0191,2022-06-26,Purchase,2244.2,Net Banking,Education
T00096,C0402,2022-10-12,Payment,11072.06,UPI,Healthcare
T00097,C0218,2022-03-04,Transfer,1737.67,Card,Healthcare
T00098,C0044,2024-09-29,Payment,16746.94,Cash,Retail
T00099,C0162,2023-10-24,Transfer,2189.3,Cash,Food
T00100,C0202,2023-10-28,Payment,7499.16,UPI,Healthcare
T00101,C0446,2022-06-05,Withdrawal,3459.7,UPI,Healthcare
T00102,C0484,2024-12-08,Withdrawal,7290.9,UPI,Travel
T00103,C0270,2024-08-24,Transfer,2911.84,Net Banking,Other
T00104,C0351,2024-04-28,Transfer,3950.5,Cash,Healthcare
T00105,C0304,2025-01-12,Withdrawal,4649.75,UPI,Food
T00106,C0271,2025-10-16,Transfer,2018.45,Card,Other
T00107,C0456,2023-11-20,Payment,8139.57,UPI,Other
T00108,C0462,2022-05-28,Payment,2984.72,Cash,Education
T00109,C0215,2022-12-08,Withdrawal,3747.91,UPI,Education
T00110,C0252,2023-04-21,Purchase,2031.14,Cash,Education
T00111,C0190,2024-12-22,Payment,579.38,UPI,Education
T00112,C0296,2025-10-15,Transfer,3862.27,Card,Travel
T00113,C0213,2023-07-15,Purchase,31005.66,UPI,Healthcare
T00114,C0208,2022-11-23,Purchase,8429.7,Card,Education
T00115,C0237,2025-03-10,Payment,4431.19,Card,Retail
T00116,C0338,2024-09-16,Payment,3646.49,UPI,Education
T00117,C0367,2022-08-03,Purchase,4581.61,Card,Healthcare
T00118,C0053,2023-03-11,Purchase,6971.1,Net Banking,Education
T00119,C0280,2024-08-09,Withdrawal,1749.67,UPI,Travel
T00120,C0410,2023-12-24,Transfer,10974.06,UPI,Food
T00121,C0217,2025-09-03,Withdrawal,7975.56,Card,Food
T00122,C0252,2022-02-01,Payment,7993.48,Card,Healthcare
T00123,C0188,2023-11-01,Withdrawal,6390.79,UPI,Food
T00124,C0380,2022-10-12,Withdrawal,4571.18,Net Banking,Food
T00125,C0493,2025-08-21,Withdrawal,7708.83,Card,Retail
T00126,C0041,2023-03-05,Withdrawal,7224.87,Card,Healthcare
T00127,C0157,2022-10-13,Transfer,3390.05,Cash,Healthcare
T00128,C0015,2025-03-13,Transfer,2843.96,Net Banking,Food
T00129,C0301,2025-12-18,Purchase,4882.04,Net Banking,Food
T00130,C0065,2024-11-08,Payment,15538.08,UPI,Food
T00131,C0345,2022-01-18,Withdrawal,1669.95,Net Banking,Other
T00132,C0327,2024-02-08,Purchase,1391.05,UPI,Travel
T00133,C0009,2023-08-13,Purchase,5134.01,Cash,Education
T00134,C0344,2025-10-26,Purchase,4686.98,Net Banking,Travel
T00135,C0129,2025-04-13,Transfer,5169.37,Card,Healthcare
T00136,C0492,2024-10-06,Withdrawal,5469.79,Cash,Retail
T00137,C0136,2022-07-13,Withdrawal,3764.13,UPI,Education
T00138,C0472,2023-05-17,Payment,14819.86,Cash,Retail
T00139,C0063,2024-09-14,Withdrawal,1250.26,UPI,Other
T00140,C0139,2025-02-10,Withdrawal,2319.33,Cash,Healthcare
T00141,C0499,2022-04-24,Purchase,4143.22,UPI,Other
T00142,C0081,2025-05-30,Payment,1208.68,Net Banking,Healthcare
T00143,C0392,2024-08-04,Withdrawal,3909.44,Card,Retail
T00144,C0163,2024-04-10,Transfer,17000.68,UPI,Retail
T00145,C0419,2025-07-11,Withdrawal,4575.82,Cash,Retail
T00146,C0289,2024-07-13,Purchase,5412.11,UPI,Healthcare
T00147,C0379,2022-02-24,Transfer,1642.05,UPI,Food
T00148,C0261,2024-03-10,Purchase,2748.32,UPI,Retail
T00149,C0490,2024-02-17,Withdrawal,3333.16,Cash,Other
T00150,C0231,2022-06-11,Transfer,3490.01,Card,Education
T00151,C0041,2025-11-04,Payment,12545.88,Net Banking,Healthcare
T00152,C0028,2022-03-28,Payment,7030.31,Card,Other
T00153,C0135,2022-02-24,Transfer,1849.49,UPI,Travel
T00154,C0201,2025-04-16,Transfer,5480.97,Cash,Travel
T00155,C0328,2025-11-15,Purchase,6703.67,Card,Education
T00156,C0268,2025-10-04,Transfer,11203.17,UPI,Food
T00157,C0418,2024-10-28,Purchase,15934.87,Net Banking,Retail
T00158,C0033,2024-04-12,Withdrawal,1997.71,Net Banking,Healthcare
T00159,C0048,2022-11-09,Purchase,2352.29,Net Banking,Other
T00160,C0407,2024-01-29,Transfer,1645.45,UPI,Retail
T00161,C0062,2023-03-19,Transfer,3731.69,Cash,Other
T00162,C0216,2022-11-24,Withdrawal,6534.95,Card,Healthcare
T00163,C0293,2024-12-13,Transfer,9913.97,Net Banking,Travel
T00164,C0099,2024-01-31,Transfer,4234.72,UPI,Retail
T00165,C0172,2025-06-16,Payment,3484.06,UPI,Education
T00166,C0360,2025-06-06,Payment,5080.88,Card,Food
T00167,C0214,2023-08-02,Withdrawal,2307.03,Net Banking,Education
T00168,C0475,2024-12-10,Purchase,23943.78,UPI,Food
T00169,C0035,2024-10-03,Payment,1243.52,Card,Other
T00170,C0449,2025-07-11,Purchase,5216.73,Cash,Retail
T00171,C0227,2025-12-12,Transfer,22713.57,Cash,Retail
T00172,C0101,2022-04-06,Payment,4524.55,Cash,Food
T00173,C0431,2025-01-16,Withdrawal,3865.33,Net Banking,Travel
T00174,C0462,2025-01-06,Withdrawal,3380.83,Card,Healthcare
T00175,C0131,2025-08-04,Withdrawal,3895.27,Card,Education
T00176,C0257,2025-02-17,Payment,13495.5,UPI,Other
T00177,C0005,2024-03-24,Purchase,766.89,UPI,Education
T00178,C0218,2023-05-06,Transfer,15345.53,UPI,Education
T00179,C0255,2023-03-28,Purchase,1440.39,Card,Other
T00180,C0398,2022-06-14,Purchase,3635.53,UPI,Other
T00181,C0359,2022-07-01,Transfer,3192.11,Card,Retail
T00182,C0283,2023-04-14,Transfer,7206.04,Card,Education
T00183,C0393,2024-06-28,Payment,1253.05,Cash,Healthcare
T00184,C0207,2024-01-05,Payment,6513.1,UPI,Healthcare
T00185,C0015,2024-04-02,Payment,22726.35,Cash,Food
T00186,C0346,2024-08-01,Payment,1512.16,Net Banking,Other
T00187,C0042,2022-01-07,Payment,5237.49,Net Banking,Retail
T00188,C0380,2022-11-26,Transfer,2649.82,Net Banking,Healthcare
T00189,C0461,2024-02-14,Purchase,6326.75,Card,Travel
T00190,C0179,2022-05-31,Payment,4569.46,Card,Retail
T00191,C0063,2025-01-13,Payment,2693.62,Card,Retail
T00192,C0352,2022-05-27,Purchase,6648.39,UPI,Healthcare
T00193,C0231,2025-11-05,Payment,19059.31,Cash,Travel
T00194,C0241,2024-07-03,Purchase,3862.65,Card,Food
T00195,C0052,2025-08-01,Purchase,8003.54,Cash,Healthcare
T00196,C0096,2023-12-01,Transfer,1599.13,Cash,Travel
T00197,C0388,2022-03-23,Withdrawal,2093.69,Cash,Retail
T00198,C0222,2023-05-29,Transfer,6566.64,UPI,Travel
T00199,C0485,2024-03-25,Withdrawal,14751.88,UPI,Retail
T00200,C0407,2023-12-10,Withdrawal,5980.88,Net Banking,Healthcare
T00201,C0231,2024-01-16,Withdrawal,3503.04,Net Banking,Other
T00202,C0237,2024-10-19,Payment,4497.45,Cash,Healthcare
T00203,C0143,2025-11-10,Transfer,1654.92,Net Banking,Education
T00204,C0171,2023-12-08,Withdrawal,7298.65,Cash,Education
T00205,C0029,2023-04-16,Purchase,9115.2,UPI,Education
T00206,C0036,2025-02-16,Payment,3134.3,UPI,Healthcare
T00207,C0013,2023-01-31,Transfer,3089.61,UPI,Food
T00208,C0160,2022-09-18,Withdrawal,5566.58,Card,Healthcare
T00209,C0327,2024-03-15,Purchase,3173.08,Cash,Other
T00210,C0187,2024-07-22,Transfer,4268.11,UPI,Travel
T00211,C0243,2025-07-03,Transfer,24139.63,Cash,Healthcare
T00212,C0086,2024-06-23,Payment,3693.07,Net Banking,Healthcare
T00213,C0284,2025-06-03,Transfer,3378.41,Net Banking,Retail
T00214,C0066,2024-12-12,Payment,2680.61,UPI,Retail
T00215,C0170,2024-07-28,Withdrawal,8161.52,Cash,Retail
T00216,C0045,2024-05-03,Payment,3892.68,UPI,Healthcare
T00217,C0062,2025-10-19,Purchase,2676.68,Net Banking,Food
T00218,C0441,2025-07-27,Payment,12950.32,UPI,Travel
T00219,C0134,2023-08-16,Purchase,14009.84,Cash,Travel
T00220,C0284,2023-12-15,Payment,2783.58,Net Banking,Other
T00221,C0028,2025-03-27,Transfer,1010.9,Card,Food
T00222,C0108,2023-09-24,Withdrawal,10075.31,Net Banking,Food
T00223,C0044,2022-02-28,Purchase,2602.24,Card,Travel
T00224,C0340,2022-05-08,Payment,8470.4,UPI,Education
T00225,C0286,2024-01-06,Payment,930.53,UPI,Retail
T00226,C0446,2023-12-22,Payment,9190.36,Cash,Retail
T00227,C0331,2025-02-12,Transfer,1707.69,Card,Travel
T00228,C0128,2025-05-17,Transfer,8074.32,UPI,Food
T00229,C0348,2023-06-10,Purchase,4551.68,Card,Other
T00230,C0473,2023-06-05,Purchase,2097.88,UPI,Education
T00231,C0231,2023-07-06,Transfer,3249.33,Net Banking,Travel
T00232,C0190,2022-08-25,Purchase,7792.27,UPI,Retail
T00233,C0225,2025-07-28,Withdrawal,4897.83,Cash,Healthcare
T00234,C0385,2025-10-14,Withdrawal,7182.21,Net Banking,Food
T00235,C0377,2025-05-09,Transfer,21872.49,Cash,Healthcare
T00236,C0283,2025-07-25,Purchase,1287.48,Net Banking,Other
T00237,C0446,2025-06-12,Payment,16409.29,Card,Travel
T00238,C0121,2023-05-09,Withdrawal,4891.81,Cash,Retail
T00239,C0116,2022-01-04,Transfer,2192.52,UPI,Education
T00240,C0461,2023-10-28,Purchase,1552.44,Card,Healthcare
T00241,C0233,2023-03-18,Transfer,3868.17,UPI,Education
T00242,C0259,2022-01-29,Payment,9406.47,Net Banking,Other
T00243,C0359,2025-02-06,Withdrawal,4063.47,Net Banking,Retail
T00244,C0198,2023-09-02,Transfer,15074.45,UPI,Healthcare
T00245,C0456,2024-03-15,Transfer,1409.36,UPI,Other
T00246,C0411,2022-03-16,Transfer,4456.69,Card,Education
T00247,C0137,2024-04-17,Payment,1652.29,UPI,Education
T00248,C0318,2025-03-15,Transfer,6019.37,Cash,Healthcare
T00249,C0165,2022-05-08,Payment,9148.48,Cash,Retail
T00250,C0225,2022-02-11,Payment,3213.84,UPI,Education
T00251,C0307,2025-10-11,Payment,560.29,Cash,Travel
